step,tag,value,run
67424,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
70464,0-Episodic-Stats/episodic_length,68.66666412353516,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
73504,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
76544,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
79584,0-Episodic-Stats/episodic_length,108.25,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
82624,0-Episodic-Stats/episodic_length,155.75,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
85664,0-Episodic-Stats/episodic_length,179.5,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
88704,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
91744,0-Episodic-Stats/episodic_length,179.5,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
94784,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
97824,0-Episodic-Stats/episodic_length,227.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
137888,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
147008,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
150048,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
153088,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
159168,0-Episodic-Stats/episodic_length,94.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
162208,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
165248,0-Episodic-Stats/episodic_length,179.5,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
168288,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
171328,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
174368,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
177408,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
180448,0-Episodic-Stats/episodic_length,322.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
183488,0-Episodic-Stats/episodic_length,195.3333282470703,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
189568,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
226592,0-Episodic-Stats/episodic_length,108.25,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
229632,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
232672,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_4___seed_7_1761194167
