step,tag,value,run
52224,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
61344,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
64384,0-Episodic-Stats/episodic_length,68.66666412353516,Pong1PCB2L336P__seed_5_1763344785
67424,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
70464,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
73504,0-Episodic-Stats/episodic_length,121.44444274902344,Pong1PCB2L336P__seed_5_1763344785
76544,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
79584,0-Episodic-Stats/episodic_length,195.3333282470703,Pong1PCB2L336P__seed_5_1763344785
82624,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
91744,0-Episodic-Stats/episodic_length,274.5,Pong1PCB2L336P__seed_5_1763344785
125728,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
131808,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
137888,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
140928,0-Episodic-Stats/episodic_length,155.75,Pong1PCB2L336P__seed_5_1763344785
143968,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
147008,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
150048,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L336P__seed_5_1763344785
153088,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L336P__seed_5_1763344785
156128,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L336P__seed_5_1763344785
159168,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L336P__seed_5_1763344785
162208,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
165248,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
180448,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
199232,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
208352,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
211392,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
214432,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
220512,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
223552,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
226592,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
229632,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
232672,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
235712,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L336P__seed_5_1763344785
238752,0-Episodic-Stats/episodic_length,179.5,Pong1PCB2L336P__seed_5_1763344785
241792,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
244832,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
247872,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
250912,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
256992,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
272192,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
275776,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
287936,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
294016,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
297056,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PCB2L336P__seed_5_1763344785
300096,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
303136,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
306176,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
309216,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
312256,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
318336,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
321376,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
324416,0-Episodic-Stats/episodic_length,155.75,Pong1PCB2L336P__seed_5_1763344785
330496,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
333536,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
339616,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
360896,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
364480,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
367520,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
373600,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
376640,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
379680,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
382720,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
385760,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
391840,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
394880,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PCB2L336P__seed_5_1763344785
397920,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
400960,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
404000,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
407040,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
410080,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
416160,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
422240,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
425280,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
440480,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
444064,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
447104,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
450144,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PCB2L336P__seed_5_1763344785
453184,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
456224,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
459264,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
462304,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
465344,0-Episodic-Stats/episodic_length,113.0,Pong1PCB2L336P__seed_5_1763344785
471424,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
480544,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
483584,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
486624,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
489664,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
492704,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
495744,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
501824,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
504864,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
523104,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
529728,0-Episodic-Stats/episodic_length,195.3333282470703,Pong1PCB2L336P__seed_5_1763344785
532768,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
535264,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
541888,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
544928,0-Episodic-Stats/episodic_length,195.3333282470703,Pong1PCB2L336P__seed_5_1763344785
547968,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
551008,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
554048,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
557088,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
560128,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
563168,0-Episodic-Stats/episodic_length,322.0,Pong1PCB2L336P__seed_5_1763344785
566208,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
569248,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
572288,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
578368,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
581408,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
584448,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
587488,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
596608,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
599648,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
602688,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
603232,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
615392,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
618432,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
623968,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
627552,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
633632,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PCB2L336P__seed_5_1763344785
636672,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
639712,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
642752,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
645792,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
648832,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
651872,0-Episodic-Stats/episodic_length,170.0,Pong1PCB2L336P__seed_5_1763344785
654912,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
657952,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
664032,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
667616,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
670112,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
676192,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
685312,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
688352,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
688896,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
701056,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
707136,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
710176,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
716256,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
719296,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
721792,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
722336,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
725376,0-Episodic-Stats/episodic_length,151.0,Pong1PCB2L336P__seed_5_1763344785
728416,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
731456,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
734496,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
737536,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
740576,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
743616,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
746656,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
750240,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
752736,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PCB2L336P__seed_5_1763344785
761856,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
764896,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
777600,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
780640,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
789760,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
792800,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L336P__seed_5_1763344785
795840,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
798880,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L336P__seed_5_1763344785
801920,0-Episodic-Stats/episodic_length,179.5,Pong1PCB2L336P__seed_5_1763344785
804960,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L336P__seed_5_1763344785
808000,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L336P__seed_5_1763344785
